code_2008,libelle_2008,code_2025,libelle_2025,type_correspondance,type_officiel,contenu_commun,source_url,source_reference
66.19B,"Autres activités auxiliaires de services financiers, hors assurance et caisses de retraite, n.c.a.",66.30Y,Activités de gestion de fonds,n↔n,Multiple,"- les services de fiducie, d'administration fiduciaire et de conservation sur la base d'honoraires ou de contrats",https://www.insee.fr/fr/information/8181066,INSEE — Table de correspondance officielle NAF rév.2 → NAF 2025 (Correspondances_NAFrev2-NAF2025.xlsx)
66.21Z,Évaluation des risques et dommages,66.21Y,Évaluation des risques et dommages,1→1,Unique,tout le contenu de la sous-classe NAF rév. 2,https://www.insee.fr/fr/information/8181066,INSEE — Table de correspondance officielle NAF rév.2 → NAF 2025 (Correspondances_NAFrev2-NAF2025.xlsx)
66.22Z,Activités des agents et courtiers d'assurances,66.22Y,Activités des agents et courtiers d’assurances,1→1,Unique,tout le contenu de la sous-classe NAF rév. 2,https://www.insee.fr/fr/information/8181066,INSEE — Table de correspondance officielle NAF rév.2 → NAF 2025 (Correspondances_NAFrev2-NAF2025.xlsx)
66.29Z,Autres activités auxiliaires d'assurance et de caisses de retraite,66.29Y,Activités auxiliaires d’assurance et de fonds de pension n.c.a.,1→1,Unique,tout le contenu de la sous-classe NAF rév. 2,https://www.insee.fr/fr/information/8181066,INSEE — Table de correspondance officielle NAF rév.2 → NAF 2025 (Correspondances_NAFrev2-NAF2025.xlsx)
66.30Z,Gestion de fonds,66.30Y,Activités de gestion de fonds,n→1,Unique,tout le contenu de la sous-classe NAF rév. 2,https://www.insee.fr/fr/information/8181066,INSEE — Table de correspondance officielle NAF rév.2 → NAF 2025 (Correspondances_NAFrev2-NAF2025.xlsx)
68.10Z,Activités des marchands de biens immobiliers,68.11Y,Achat et vente de biens propres,1→1,Unique,tout le contenu de la sous-classe NAF rév. 2,https://www.insee.fr/fr/information/8181066,INSEE — Table de correspondance officielle NAF rév.2 → NAF 2025 (Correspondances_NAFrev2-NAF2025.xlsx)
68.20A,Location de logements,55.90Y,Autres hébergements,n↔n,Multiple,- la fourniture de maisons et d'appartements meublés ou non meublés pour une période inférieure à un an,https://www.insee.fr/fr/information/8181066,INSEE — Table de correspondance officielle NAF rév.2 → NAF 2025 (Correspondances_NAFrev2-NAF2025.xlsx)
68.20A,Location de logements,68.20G,Location de logements,1→n,Multiple,"à l’exception de la fourniture de maisons et d'appartements meublés ou non meublés pour une période inférieure à un an, tout le contenu de la sous-classe NAF rév. 2, à savoir : - la location et l'exploitation de biens immobiliers détenus en propre ou en crédit-bail : immeubles d'appartements, logements - la fourniture de maisons et d'appartements meublés ou non meublés pour un usage plus permanent, sur une base annuelle ou plus longue",https://www.insee.fr/fr/information/8181066,INSEE — Table de correspondance officielle NAF rév.2 → NAF 2025 (Correspondances_NAFrev2-NAF2025.xlsx)
68.20B,Location de terrains et d'autres biens immobiliers,68.20H,Location et exploitation d'autres biens immobiliers propres ou loués,n→1,Unique,"tout le contenu de la sous-classe NAF rév. 2, à savoir : - la location et l'exploitation de biens immobiliers détenus en propre ou en crédit-bail : • bâtiments non résidentiels, y compris immeubles de bureaux, bâtiments industriels, entrepôts, hôtels et autres bâtiments de loisirs, halls d'exposition, installations de self-stockage, magasins de détail et centres commerciaux, centres de données • terrains, y compris les terrains agricoles et forestiers - l'exploitation de sites de maisons mobiles résidentielles pour des résidences principales - le développement de projets de construction pour une exploitation propre, c'est-à-dire pour la location d'espaces dans ces bâtiments - la location de toits, par exemple pour des installations solaires - la location d'installations et d'usines, y compris de machines et d'équipements - la mise à disposition d'espaces pour la pension d'animaux uniquement",https://www.insee.fr/fr/information/8181066,INSEE — Table de correspondance officielle NAF rév.2 → NAF 2025 (Correspondances_NAFrev2-NAF2025.xlsx)
68.31Z,Agences immobilières,68.31Y,Activités de service d’intermédiation pour les activités immobilières,1→n,Multiple,"- l'intermédiation dans l'achat, la vente et la location de biens immobiliers sur la base d'honoraires ou de contrats",https://www.insee.fr/fr/information/8181066,INSEE — Table de correspondance officielle NAF rév.2 → NAF 2025 (Correspondances_NAFrev2-NAF2025.xlsx)
